2022-09-19 13:09:21 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-19 22:09:553 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:27 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:996 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:505 INFO  DeskTopPage :56 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (3bb2932c08d2333faaf4c18b6ce1f6fe)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (3bb2932c08d2333faaf4c18b6ce1f6fe)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (3bb2932c08d2333faaf4c18b6ce1f6fe)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-20 19:09:241 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:719 INFO  DeskTopPage :56 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (e4122af4e6ab8e15cf40d7e6008cd76e)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (e4122af4e6ab8e15cf40d7e6008cd76e)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (e4122af4e6ab8e15cf40d7e6008cd76e)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-20 19:09:30 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:764 INFO  DeskTopPage :56 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (09fb276d2fb73382b09834bf89d8a6b0)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (09fb276d2fb73382b09834bf89d8a6b0)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (09fb276d2fb73382b09834bf89d8a6b0)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-20 19:09:903 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:72 INFO  DeskTopPage :56 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (e595d3ac6c58f88893dc961a6de17d7c)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (e595d3ac6c58f88893dc961a6de17d7c)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (e595d3ac6c58f88893dc961a6de17d7c)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-20 19:09:593 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:918 INFO  DeskTopPage :56 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (80f78f2b82d11e03d85a850b518c083f)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (80f78f2b82d11e03d85a850b518c083f)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (80f78f2b82d11e03d85a850b518c083f)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-20 19:09:217 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-20 19:09:72 INFO  DeskTopPage :56 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (b0a80157b40d27b9be8ae5bc8836c327)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (b0a80157b40d27b9be8ae5bc8836c327)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (b0a80157b40d27b9be8ae5bc8836c327)] -> xpath: //div[@class='products-container']//h2/a]]
